,rep1_average,rep2_average,rep1_average_indel,rep2_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,library_editing_rates,PRIDICT_Score,locus
01libbestpeg,2.3121566084663048,1.6921184386258001,-0.3369121505251869,-1.292186861054453,2.0021375235460526,0.0,,88.09248208999634,01
01libendopeg,7.3338426279602755,8.028046743011714,-2.2213450858917856,-2.5651150697607124,7.680944685485995,0.0,77.06539299,81.57200813293457,01
01libworstpeg,2.4203069657615113,2.3309564887697283,-0.615145262553929,-1.4649453317859522,2.3756317272656196,0.0,,53.17238569259644,01
03libbestpeg,0.7327160295207684,0.7383057333317753,0.18509933853314603,-0.40999233048161976,0.7355108814262719,0.0,,83.58119130134583,03
03libendopeg,8.831694971288385,4.293574702956335,2.1913865513108215,1.605665475689483,6.56263483712236,1.8985260135001523,8.54108873,83.5620641708374,03
03libworstpeg,6.4180359136751175,3.958169407030544,7.2956919229519865,5.189640767607877,5.188102660352831,6.242666345279932,,66.84687733650208,03
05libbestpeg,0.1319341745468929,0.16793013146336558,-0.7032971907454216,0.5216606626262981,0.14993215300512924,0.0,,5.385057628154755,05
05libendopeg,0.09355133044713121,0.06685067870145049,-0.5879635801774642,0.13986854011972585,0.08020100457429086,0.0,1.173419639,4.185961931943893,05
05libworstpeg,0.05590131140070178,0.01216379799856636,-0.23840903874859384,0.04629250170540134,0.03403255469963407,0.0,,4.5914176851511,05
06libbestpeg,0.04655155591540956,0.03894393784982178,-1.4186442609044403,-0.8079009797507015,0.04274774688261567,0.0,,3.44480574131012,06
06libendopeg,0.07590045622626986,0.04464910476989149,-0.2764713825738607,-0.27201769064827885,0.060274780498080674,0.0,28.85802783,4.63360883295536,06
06libworstpeg,0.6769675116170835,0.6988383034881802,-0.0826980196648674,0.027707836790915305,0.6879029075526318,0.0,,2.7427585795521736,06
09libbestpeg,4.8866000865759425,4.363133145004751,-0.8682286662615819,-0.27429657489825554,4.624866615790347,0.0,,86.75957322120667,09
09libendopeg,2.3431479090619183,2.0922747559323636,-0.06418757830834929,0.17293070390537432,2.217711332497141,0.05437156279851252,48.83153598,84.99295711517334,09
09libworstpeg,0.3598439586072869,0.3591575705578026,-0.49283175109707233,-0.4054213310653809,0.35950076458254476,0.0,,69.82547640800476,09
17libbestpeg,14.606110826937904,11.743666425948671,-0.13570422098967785,-0.1825441751437297,13.174888626443288,0.0,,86.64432764053345,17
17libendopeg,6.7790770059451715,5.883255868709453,-0.07106888016964058,-0.16576628573407814,6.331166437327312,0.0,83.51044625,72.4419355392456,17
17libworstpeg,-0.0050895765472312405,0.0004879521519626927,-0.6123209029659279,-0.7234193066154341,0.0,0.0,,15.423266589641573,17
20libbestpeg,32.184354045539855,29.779986778661208,-0.6603019038320188,-0.8222335259372455,30.98217041210053,0.0,,87.44949698448181,20
20libendopeg,38.9134029500931,32.024287254373306,0.0486008643431923,-0.20565146659418002,35.4688451022332,0.0,84.16802518,84.6792459487915,20
20libworstpeg,1.845873177849993,1.6444974039308822,0.524550294998022,0.44409913864645323,1.7451852908904377,0.4843247168222376,,57.66186714172363,20
26libbestpeg,6.569229135651375,6.249071768945839,1.0743947338080995,1.3956619456662478,6.409150452298607,1.2350283397371737,,82.38364458084106,26
26libendopeg,7.555715706001836,6.257973223778249,1.4006860382777342,1.3613118520067702,6.9068444648900424,1.3809989451422522,47.9979558,81.98647499084473,26
26libworstpeg,0.1426519286396775,0.14938550324071614,1.6974807024860528,2.060498069141989,0.14601871594019683,1.878989385814021,,84.22450423240662,26
28libbestpeg,8.973136939057703,8.098806050703828,2.072591960094074,2.126191985487125,8.535971494880766,2.0993919727906,,86.10644936561584,28
28libendopeg,0.59380634827993,0.3991964513446865,-1.3221027195659127,2.3634234330002712,0.49650139981230823,0.5206603567171793,60.80075784,66.4117693901062,28
28libworstpeg,1.5053898039964377,1.2125284752919936,1.168032438048923,3.7888763805564354,1.3589591396442158,2.478454409302679,,62.80304193496704,28
31libbestpeg,8.85639773181284,7.118991057326491,0.10656520875292912,0.32060036909523437,7.987694394569666,0.21358278892408175,,89.6582841873169,31
31libendopeg,21.06179827332108,21.53400617741105,0.3683258952165292,0.4032285920200428,21.297902225366066,0.385777243618286,78.05929202,39.95147943496704,31
31libworstpeg,0.012572206527370284,0.007064609268077777,0.19292488332781543,0.6726233362674171,0.00981840789772403,0.43277410979761627,,4.554769396781921,31
33libbestpeg,15.92700117894158,12.17592140013815,-0.8226927261609965,-0.37709991568235013,14.051461289539866,0.0,,82.743239402771,33
33libendopeg,15.617379925938344,12.187595758220063,-0.48185158205768597,-0.5588952027901044,13.902487842079204,0.0,65.85803074,79.39118146896362,33
33libworstpeg,8.239643298914777,6.930052501707479,0.5975115920764891,0.11866431935995936,7.584847900311128,0.3580879557182242,,54.04078364372253,33
EMX12b10libbestpeg,0.0641078707157068,0.03641029985878266,1.2163561775383909,0.34387784803060006,0.05025908528724473,0.7801170127844954,,85.54480075836182,EM
EMX12b10libendopeg,8.118402289789763,7.63583818778624,2.6122214866056916,2.0829119826155402,7.8771202387880015,2.347566734610616,42.88570891,24.008989334106445,EM
EMX12b10libworstpeg,0.31489727257961536,0.39900192060995676,0.6485004995599823,0.6893082409951313,0.3569495965947861,0.6689043702775568,,7.641558349132538,EM
FANCF2b10libbestpeg,11.923463335746696,9.737610556289717,0.42562724655512,0.9751061250919962,10.830536946018206,0.7003666858235581,,92.03277230262756,FA
FANCF2b10libendopeg,2.4531316219123775,1.9420485212889318,1.4232285289301165,1.1877931132684052,2.1975900716006547,1.305510821099261,73.39881367,71.14577889442444,FA
FANCF2b10libworstpeg,0.6861293193096498,0.5475388729504166,2.301415282498823,1.714095086985648,0.6168340961300331,2.0077551847422352,,41.24146401882172,FA
HEK32b20libbestpeg,0.2401978003664043,0.22534972363833108,-0.43512931044377245,-0.23304155000714913,0.2327737620023677,0.0,,89.6721601486206,HE
HEK32b20libendopeg,0.30492069711127096,0.2624834155559095,-0.21744422855434134,-1.1522891070077979,0.28370205633359025,0.0,71.02652227,38.28842341899872,HE
HEK32b20libworstpeg,1.8961432496377788,1.5401172702145267,1.4235012536971148,0.6471613489158183,1.7181302599261528,1.0353313013064667,,48.74672293663025,HE
RNF22b14libbestpeg,2.6896022857749884,2.6394668781697104,-1.0989658549266335,-0.4476069732095078,2.664534581972349,0.0,,86.77494525909424,RN
RNF22b14libendopeg,3.526488933639494,3.318034920724643,-0.02565489875735026,0.2863089495032083,3.4222619271820687,0.130327025372929,56.30620515,73.71508479118347,RN
RNF22b14libworstpeg,0.7351947383680333,0.7179930632926403,0.17827129650633414,-0.0503762918676964,0.7265939008303368,0.06394750231931887,,46.72428369522095,RN
