,sample_name,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank,Target
0,01libbestpeg,0.5337076137107527,0.5885310244768074,0.5838553149815321,0.4716862110654767,0.0,0.0127928519286421,0.013969431249655629,0.10306241831302602,0.1162949078336893,0.12490491770188324,51.32,False,0,False,0.7272727272727273,22,0.6923076923076923,13,1,0,0,14,8,12.487764373642744
1,01libendopeg,0.018310971895020036,0.8548806013628508,0.8918372844052889,0.9291960207610372,0.9001237862988825,0.7246864287263981,0.013006722206747274,0.0,0.0,0.21494635851987842,19.68,False,1,False,0.8,15,0.7272727272727273,11,1,0,0,5,10,46.574314333114216
2,01libworstpeg,0.9838305188841822,0.022289831619353634,0.01923281170043314,0.031215314879010546,0.0,0.0,0.22894739548796797,0.2551671671003975,0.2710575482008461,0.1848026477184146,66.28,False,0,False,0.7777777777777778,9,0.6923076923076923,13,1,0,0,2,7,14.39840280921377
3,03libbestpeg,0.0438056845574955,0.25142574406740936,0.23956153768312047,0.21618301779755578,0.0,0.0,0.0,0.5939767422396934,0.6146425341229936,0.6363400499460438,58.83,False,0,False,0.7083333333333334,24,0.6153846153846154,13,0,10,0,12,12,1.2369298386254617
4,03libendopeg,0.9145980190743783,0.7140138943339354,0.7299635053554671,0.026375621356135987,0.26826488811739474,0.3264601420151068,0.34422067498675213,0.34778819032309544,0.3194908086781808,0.3424370894896594,59.82,False,1,False,0.7142857142857143,14,0.6923076923076923,13,0,10,0,1,13,12.996339747240247
5,03libworstpeg,0.020885850211583356,0.8063595613215694,0.7773551838449364,0.0723588140378137,0.16666467317016917,0.17319405664626988,0.32510068889142424,0.3771261334287478,0.41008086506406904,0.44670655480560806,59.82,False,1,False,0.7142857142857143,7,0.6923076923076923,13,0,10,0,1,6,9.620605431477095
6,05libbestpeg,0.3336700755852948,0.3528474981063304,0.34004645585527166,0.29092292031374417,0.04308079406630675,0.05702333870347198,0.013501592645139306,0.14801829869599867,0.14862753953496552,0.12222916633346952,0.86,False,1,False,0.25,16,0.38461538461538464,13,1,0,0,5,11,0.3933591110612057
7,05libendopeg,0.7201612035654726,0.01592342582680119,0.016842118869435423,0.2405248360882297,0.23032139636900642,0.03305330508086391,0.03462116858822275,0.05182711411595847,0.06518830793773316,0.06980635570828705,0.86,False,1,False,0.26666666666666666,15,0.3333333333333333,15,1,0,0,5,10,0.1787139080281333
8,05libworstpeg,0.9746361552614121,0.02190037855006026,0.4978693719232865,0.5372595710560479,0.0638431005119044,0.08020165258246742,0.08624573976784321,0.0873729860065178,0.05888463752706718,0.0,0.86,False,1,False,0.3333333333333333,12,0.38461538461538464,13,1,0,0,5,7,0.1084555734039894
9,06libbestpeg,0.6421360318639244,0.1910419615188415,0.16617181774997036,0.36857560297289743,0.3777625897576207,0.16796890107993373,0.47670585410422806,0.541589240866053,0.5822860299716691,0.621041459097122,50.17,False,1,False,0.4375,16,0.3076923076923077,13,1,0,0,5,11,0.2404552586829108
10,06libendopeg,0.894114254171353,0.0,0.8401894618366001,0.832029470704592,0.5745657981477126,0.0,0.16348559116020805,0.18265008658418447,0.20133237500304418,0.045258020788516415,50.17,False,1,False,0.4,20,0.3333333333333333,15,1,0,0,5,15,0.2860662420763841
11,06libworstpeg,0.9893284585535397,0.17264012044657592,0.19451797837177487,0.2139567732594486,0.22885043309819994,0.23657053389545155,0.19676878565581543,0.20606578563063127,0.21955000229087268,0.22561274726880914,50.17,False,1,False,0.36363636363636365,11,0.3076923076923077,13,1,0,0,5,6,1.4611878012120072
12,09libbestpeg,0.6844110658170753,0.026750331643019567,0.04410160402182599,0.06335020314012782,0.0,0.048523566519745494,0.05193278421180098,0.05519970050460985,0.06149928981093526,0.055191602530146835,59.28,False,0,False,0.5714285714285714,21,0.5384615384615384,13,1,0,0,15,6,31.3976443491994
13,09libendopeg,0.985116363018117,0.9855137044582706,0.9960742787190784,0.8934403906108419,0.2377513954311168,0.4734236472897889,0.222337113597102,0.1917631073692255,0.13871478882513813,0.3196676770032714,42.78,False,1,False,0.6,20,0.45454545454545453,11,1,0,0,5,15,9.32415725834683
14,09libworstpeg,0.9971710595820534,0.5920078931954328,0.16489534328627706,0.4936613932768606,0.49250843192988697,0.44417920724553267,0.020949752720130492,0.2381609692746347,0.2553936741415057,0.033132568835099296,57.1,False,0,False,0.5769230769230769,26,0.6153846153846154,13,1,0,0,16,10,6.703926020341347
15,17libbestpeg,0.690295967764983,0.3113781902033377,0.47348959451731837,0.48611937140778205,0.18641239662031117,0.37122630022950326,0.01690980676902302,0.01912672827319654,0.028362705826063764,0.03163908445736067,16.25,False,1,False,0.75,20,0.7692307692307693,13,1,0,0,5,15,26.071594159651884
16,17libendopeg,0.9705065914587246,0.2727609313559028,0.3140506236464089,0.4340258121339492,0.4639464135147151,0.4875225821338733,0.5130423011960884,0.4698994625908925,0.018610491240513657,0.1721663116460109,16.25,False,1,False,0.6,10,0.8,15,1,0,0,5,5,8.982744539571371
17,17libworstpeg,0.9971671232830787,0.9153747295626812,0.9267563107883671,0.2133915069587593,0.35452831070145935,0.05917309907780127,0.17444749691989328,0.012435506794536191,0.14371600772201637,0.24199148361684472,14.31,False,0,False,0.9230769230769231,13,0.6153846153846154,13,1,0,0,1,12,0.0100901860594474
18,20libbestpeg,0.6517840828443809,0.2411168928693694,0.2658815415870498,0.288095490094175,0.3134799459308387,0.30376505699493533,0.0,0.01692066237565138,0.1191107187421187,0.12060658364361505,63.73,False,1,False,0.75,16,0.46153846153846156,13,1,0,0,5,11,59.99260952455359
19,20libendopeg,0.9834548736358455,0.0,0.4730183393658754,0.21314952911367754,0.35440595088706284,0.013025567130987094,0.015771754875204432,0.01621288873798268,0.2576610871263419,0.2853169641061888,63.73,False,1,False,0.75,12,0.5714285714285714,7,1,0,0,5,7,58.02005561184944
20,20libworstpeg,0.9397420008643552,0.1424729688857067,0.21019847683630485,0.2692286592691519,0.31590017955399163,0.34205957736395065,0.3654744067121673,0.07013837011670829,0.39711573075147083,0.4554655861183103,42.57,False,0,False,0.8571428571428571,7,0.6923076923076923,13,1,0,0,2,5,20.488797429425915
21,26libbestpeg,0.02112305743786946,0.8246756864990936,0.8251674748280863,0.8255490585962694,0.015081404932910615,0.02759055594641936,0.01620949594902721,0.012290733996858365,0.0,0.04022696633703134,24.77,False,1,False,0.5789473684210527,19,0.6153846153846154,13,1,0,0,5,14,50.67730868565188
22,26libendopeg,0.0,0.9006483762317694,0.9307456911909748,0.0,0.0,0.0,0.07956443181349582,0.08709537762050597,0.0732576467228284,0.05555874529031718,24.77,False,1,False,0.6,20,0.5714285714285714,7,1,0,0,5,15,34.224314924656746
23,26libworstpeg,0.8123463108530332,0.5249933796219767,0.4735829530550732,0.0676906274888416,0.6049188313559835,0.6430560361620957,0.6641053299698411,0.6815109266184453,0.03355685945852367,0.718697068359296,64.03,False,0,False,0.5185185185185185,27,0.6153846153846154,13,1,0,0,22,5,6.470512057189576
24,28libbestpeg,0.18924664828166277,0.21044870729764462,0.06184614116129675,0.07138637803370439,0.0942999269107364,0.13560858660159825,0.22530077327141057,0.6484518977045473,0.1275383799995695,0.12181529905400926,73.15,False,1,False,0.6153846153846154,13,0.6153846153846154,13,1,0,0,6,7,24.10801928977169
25,28libendopeg,0.9880520608787917,0.6573612957158759,0.5766048632412252,0.060408775760431195,0.056801175313645064,0.015681453582410913,0.10830425746101587,0.10776822080787182,0.07753468667813025,0.09003796667067328,70.42,False,0,False,0.6363636363636364,11,0.6923076923076923,13,1,0,0,1,10,2.0610058040336163
26,28libworstpeg,0.9217861367205089,0.3714520334011633,0.20365945903646326,0.30584475913868553,0.4797841285166935,0.9284933592466412,0.030019027164729067,0.013199566722975892,0.2105070884720695,0.27790553974563537,70.42,False,0,False,0.6666666666666666,6,0.6923076923076923,13,1,0,0,1,5,2.879717977472501
27,31libbestpeg,0.16592679065211768,0.16836375819189484,0.1612781374683593,0.2267324013537374,0.22293645020242525,0.08572488686562986,0.06597586423863588,0.05054774414739505,0.021293641754651912,0.6054022524832324,34.7,False,1,False,0.4375,16,0.5384615384615384,13,1,0,0,5,11,44.83970418315068
28,31libendopeg,0.27440427328390793,0.6650027329193207,0.6957298347195406,0.5794480805830584,0.12214640766979444,0.33211332296977075,0.3900823925142894,0.4169761285386454,0.4509081327502367,0.48729184672239007,34.7,False,1,False,0.5,12,0.5714285714285714,7,1,0,0,5,7,54.3730605883663
29,31libworstpeg,0.0632726096824303,0.931660113478639,0.9732614171185522,0.9932214793971718,0.515954405088392,0.7388602405086717,0.758240217952086,0.7789213243082255,0.7914344479277637,0.0,6.51,False,0,False,0.5,30,0.07692307692307693,13,1,0,0,25,5,0.3294847116138223
30,33libbestpeg,0.7854467757548984,0.0667808507558696,0.1355420957062986,0.25203674584692154,0.24152107441801032,0.021602047982580978,0.01510912291775137,0.3575410640391511,0.3734146268021197,0.3125416378634083,44.24,False,1,False,0.5555555555555556,18,0.46153846153846156,13,1,0,0,5,13,44.7030782167432
31,33libendopeg,0.0,0.0,0.01795803503305525,0.010715611616654757,0.17116778664170776,0.18906780610912813,0.20391874356737394,0.2208787853839327,0.2390694011842141,0.26044738588197563,44.24,False,1,False,0.75,12,0.7142857142857143,7,1,0,0,5,7,37.6453096207206
32,33libworstpeg,0.9708222546997802,0.5605857046010289,0.12575385327100838,0.18696663004755826,0.03314678985592344,0.17681555042172312,0.20458481916484184,0.22079065860690103,0.22245172777347072,0.04776572865556744,59.37,False,0,False,0.7777777777777778,9,0.5384615384615384,13,1,0,0,4,5,23.60300639845716
33,EMX12b10libbestpeg,0.12775496580048964,0.4141134045669184,0.30466058919179106,0.10352718882921534,0.10382442102883788,0.0,0.17932014159954182,0.17691339166059888,0.18045758408432466,0.22933430814809708,48.26,False,0,False,0.5416666666666666,24,0.6153846153846154,13,1,0,0,15,9,8.343287701936582
34,EMX12b10libendopeg,0.3700940535887391,0.3873620373474737,0.33441165488101127,0.20489934178764627,0.15247564469122302,0.34321349715695587,0.4350845557902771,0.5367336677599716,0.5724330835266157,0.6056214698856877,69.54,False,0,False,0.7,10,0.5384615384615384,13,1,0,0,1,9,4.5245675220996775
35,EMX12b10libworstpeg,0.9898041797780573,0.07654897215876484,0.8255470772093747,0.8531928290164665,0.7475052721211807,0.09878081172030993,0.38114143057997235,0.5189461928378385,0.5145180385318077,0.020079944713211485,72.34,False,0,False,0.5714285714285714,7,0.5384615384615384,13,1,0,0,2,5,0.1066163342777803
36,FANCF2b10libbestpeg,0.5685247994103843,0.37228329128221027,0.4187516083111107,0.43325713808366434,0.4425708496376679,0.0,0.0,0.5220605888714149,0.6052611332152834,0.6693569183990884,60.38,False,1,False,0.47368421052631576,19,0.6153846153846154,13,1,0,0,5,14,33.60851425982973
37,FANCF2b10libendopeg,0.8571981060138918,0.3225745260417945,0.27685656856513075,0.26940635271060615,0.041247000224254524,0.08221759780762088,0.08671722720092812,0.3043423857975673,0.3245989175617336,0.2303487425522942,60.38,False,1,False,0.5,10,0.6153846153846154,13,1,0,0,5,5,14.222313944773086
38,FANCF2b10libworstpeg,0.9990388480931254,0.9727123599321561,0.8368299250375075,0.15196842737900557,0.3171073506574984,0.3216332800291406,0.0610763965735273,0.06611768787615911,0.3544812632535245,0.39049618265692465,57.48,False,0,False,0.5,8,0.5384615384615384,13,1,0,0,3,5,0.4376916563282664
39,HEK32b20libbestpeg,0.7713472306084405,0.7067646043145945,0.7162195345817145,0.2128735291276177,0.024532848693256917,0.045538670063776536,0.2302741052934411,0.2367363493376458,0.2433867677092926,0.18307709746545225,41.95,False,0,False,0.6333333333333333,30,0.6153846153846154,13,1,0,0,23,7,9.7382206078181
40,HEK32b20libendopeg,0.9811810036043144,0.013720076894299387,0.029419333327403794,0.025001630063129377,0.26473631962068594,0.27305978545997484,0.29205499407991165,0.3138581792024231,0.31993881876110436,0.09429050896550319,63.26,False,0,False,0.5,20,0.6153846153846154,13,1,0,0,1,19,1.740541111346655
41,HEK32b20libworstpeg,0.8509612115499381,0.3051395844347375,0.1934830512228995,0.15083791558564377,0.11358331250627003,0.10997285601736133,0.21385409907875977,0.24203684795702238,0.03571363514475501,0.2857130814820045,63.26,False,0,False,0.5,6,0.6153846153846154,13,1,0,0,1,5,7.531235170122632
42,RNF22b14libbestpeg,0.6981006610129311,0.31241521077538903,0.3457213109919957,0.37597039120297115,0.40253610349838037,0.42068623214146844,0.06223017588146702,0.06389184002141234,0.07060605907141594,0.06566898568937878,51.1,False,1,False,0.3125,16,0.38461538461538464,13,1,0,0,5,11,63.68330426485181
43,RNF22b14libendopeg,0.17332573429208686,0.4505752173130025,0.5441954838388476,0.23189836002594766,0.0,0.23177845726073518,0.25320334152511864,0.04349860188337501,0.3074867291212642,0.34390237566629345,52.23,False,0,False,0.42857142857142855,14,0.3333333333333333,15,1,0,0,1,13,10.601202481321735
44,RNF22b14libworstpeg,0.9904979885936919,0.6443298831932335,0.5560034321324957,0.06439631578398713,0.06466625116067314,0.08552805001048647,0.155412197374481,0.2995654197625469,0.346765326595949,0.3822102190843741,52.23,False,0,False,0.5,6,0.3076923076923077,13,1,0,0,1,5,1.3707323606782948
